"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,1670630.04209749,218642.861106565,191874.496795943,NA,NA,NA
2,1489044.37754706,70214.6383246189,230975.948438071,-0.115066269148226,-1.13588281502228,0.185472090009129
3,1466440.79132549,73574.008415623,245005.873683855,-0.015296322367256,0.0467350044004937,0.0589685986918748
4,1244775.25265244,150892.318680211,388179.620131099,-0.163883240818436,0.718274644262809,0.460185986505362
5,1019085.68934041,162308.846411484,436908.73120231,-0.200049151358005,0.072934518475518,0.118256149216261
6,979964.351357805,153245.715838669,454839.891308462,-0.0391449264497506,-0.0574583605255472,0.0402211495911715
7,757171.284719727,187049.35354285,490248.791037061,-0.257926699201169,0.199329885672328,0.0749675292703208
8,16407.4058292142,276524.128345962,559886.672321411,-3.83185668778336,0.390925575890365,0.132821393334546
9,1444.09464391927,275093.021690189,592872.84539479,-2.43025022664978,-0.00518877945160443,0.0572455576319296
10,11882.7091106209,266045.572058645,579098.276233677,2.1076017463488,-0.033441683524678,-0.0235077524292528
11,10720.745212184,259150.456267529,524584.653994737,-0.102903658263505,-0.0262588123710537,-0.0988653833666446
12,1995.21595857307,266150.485898812,718554.311033922,-1.68142837489393,0.0266530800096705,0.3146344779011
