RunTime,Sp1,Sp2,Sp3
1,3e+05,150000,5000
2,135507.009923467,5420.28039693868,18622.5296795943
3,133863.993102348,4969.179452779,21166.8274448726
4,132385.220815913,5397.39157050114,22217.3876135857
5,110491.336565691,13135.9232894926,36372.7401448163
6,90052.9425468659,13546.537284118,39776.355146013
7,4318.92788046789,12656.6958092322,36314.0005666783
8,2206.21015157209,16173.9441849828,38325.4483058645
9,1420.11956776422,24817.7731665189,51729.7504586435
10,0,23850.5225089574,53730.437608678
11,1186.35105779739,23083.5311874248,52329.7635351891
12,953.247430112192,22427.2656104269,46778.6643000501
