RunTime,Sp1,Sp2,Sp3
1,1355070.09923467,54202.8039693868,186225.296795943
2,1338639.93102348,49691.79452779,211668.274448726
3,1323852.20815913,53973.9157050114,222173.876135857
4,1104913.36565691,131359.232894926,363727.401448163
5,900529.425468659,135465.37284118,397763.55146013
6,886505.470602761,126566.958092322,412311.849949551
7,752823.662946749,161739.441849828,450272.069826589
8,14201.1956776422,248177.731665189,517297.504586435
9,0,238505.225089574,537304.37608678
10,11863.5105779739,230835.311874248,523297.635351891
11,9532.47430112192,224272.656104269,467786.643000501
12,949.723471814483,231351.841988977,665893.233238473
