RunTime,Sp1,Sp2,Sp3
1,3e+05,150000,5000
2,135507.009923467,5420.28039693868,18622.5296795943
3,133863.993102348,4969.179452779,21166.8274448726
4,132216.585244818,5467.28876445031,22316.1259907313
5,112029.870271888,11318.0481112489,36652.0816168635
6,113307.252977445,8413.33596864877,38279.4110539065
7,5147.96583824506,7826.42444870199,35714.6037029564
8,3903.36652188159,13275.6308991765,36888.4116052684
9,2662.95101036799,26372.1409869366,49980.4070397424
10,0,25378.0948164917,52491.7605044524
11,1973.07972188663,24871.3321566369,48582.3109176553
12,7843.3392244619,26054.577657767,66558.2803591336
