RunTime,Sp1,Sp2,Sp3
1,1355070.09923467,54202.8039693868,186225.296795943
2,1338639.93102348,49691.79452779,211668.274448726
3,1322165.85244818,54672.8876445031,223161.259907313
4,1120298.70271888,113180.481112489,366520.816168635
5,1133072.52977445,84133.3596864877,382794.110539065
6,1136321.29224186,78264.2444870199,385414.463271118
7,1040994.26798488,132756.308991765,426249.423023353
8,26629.5101036799,263721.409869366,499804.070397424
9,0,253780.948164917,524917.605044524
10,19730.7972188663,248713.321566369,485823.109176552
11,78433.392244619,260545.77657767,665582.803591336
12,7902.87466623038,264130.977428778,599591.939650964
