"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,15559.9428628218,14440.0571371782,649.2,NA,NA,NA
2,14752.2699671791,15247.7300328209,695.082495728892,-0.0533028796633683,0.0544245513421399,0.0682897017706922
3,7477.70002880959,14760.3195526324,1801.7932880716,-0.679471705100584,-0.0324881728219733,0.952507181675286
4,7925.97386372695,14304.8665972096,2444.79155566277,0.0582199353020673,-0.0313426679924851,0.305177425880628
5,8224.06253697031,13933.480000244,2831.56504343631,0.0369191156610217,-0.0263052237123287,0.146869711693741
6,5019.7785738077,13716.2186082029,2825.54656917376,-0.493678488959917,-0.0157156044776508,-0.00212775598055273
7,54.3304114837678,13429.7494211405,3147.62912518657,-4.52605696858943,-0.0211066204446956,0.107947689078775
8,0,12947.8041557555,3893.02710984932,-Inf,-0.0365461417122065,0.212537521569644
9,40.2879069093481,12648.1633893343,2710.95447024453,Inf,-0.0234141924869048,-0.361886256421573
10,158.103817743206,13113.2836987997,1947.84811343288,1.36720054434273,0.0361137212233609,-0.330575544261457
11,15.8103817743206,13210.4195243595,1499.41917894684,-2.30258509299405,0.00738013687684095,-0.261647412577471
12,78.0765675886071,13227.6744252618,993.924431206457,1.59702318237347,0.00130530615294148,-0.41117191924482
