"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,1670630.04209749,218642.861106565,191874.496795943,NA,NA,NA
2,1489558.60920985,69700.4066618282,230998.803116856,-0.114720985355666,-1.14323347524987,0.185571033419897
3,1473001.01187615,69420.4340577424,243218.342523069,-0.011178016211912,-0.00402488916246307,0.0515470396105622
4,1340909.80280486,88062.8812574096,351052.269306585,-0.093953483536806,0.237869855998726,0.366975558975823
5,1155033.1044139,170246.743644648,416327.063584025,-0.149219335499406,0.659197698897782,0.170536034115733
6,1012866.20233512,147495.113914671,442863.013002226,-0.131344869466958,-0.143453768714051,0.0617893345982154
7,864257.509689896,141059.826726269,468331.889429453,-0.158668646887967,-0.0446109458186862,0.055916713529808
8,33021.4994125799,274035.337822451,530631.16820567,-3.26471192133533,0.664072964816786,0.124889971387717
9,2980.77987129768,277131.355225902,499683.555204021,-2.404973878628,0.0112345321515636,-0.0600921729428422
10,27518.7103274421,270729.631408476,377174.071684448,2.22268118080824,-0.0233709475824032,-0.281268198980953
11,30895.3350040986,261788.161114005,514978.358631282,0.115739052899959,-0.0335850214506284,0.311418068215481
12,5663.7526343186,261174.584388784,602658.941316131,-1.69651851964707,-0.0023465419364577,0.157226555883635
