RunTime,Sp1,Sp2,Sp3
1,1355070.09923467,54202.8039693868,186225.296795943
2,1338639.93102348,49691.79452779,211668.274448726
3,1329124.90985448,50252.8115183021,220622.278627217
4,1202987.5320361,69390.8142176329,327621.653746267
5,1026918.5806797,150065.685752929,381187.67498818
6,902789.720132712,119574.435177106,401534.463735442
7,859415.445521483,116371.716397876,429589.964927691
8,29258.3933511598,250265.047794464,492070.762628906
9,0,240335.268188657,449648.990049229
10,27462.2193023005,235322.675403933,330898.575062193
11,28143.6896977512,226784.985976042,479719.121098357
12,2670.6946944628,226613.60877937,552408.469654994
