"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,15559.9428628218,14440.0571371782,649.2,NA,NA,NA
2,15411.6682629005,14588.3317370995,707.998988536117,-0.00957494475377918,0.0102159227726181,0.0867018294309595
3,10012.108919316,14198.4430866613,1429.23645097977,-0.431329649547269,-0.0270896962860665,0.702452965216501
4,5009.77978331175,13646.7858879465,1368.38769759625,-0.692403293683392,-0.0396282889917275,-0.0435071675812984
5,7815.7705305985,13241.9764699558,2377.22322121779,0.444751596675,-0.0301122082441496,0.552299909044521
6,7384.62413444273,12914.1101622728,3209.78176796522,-0.0567435365008581,-0.0250712949547179,0.30026985700429
7,59.5020357412708,12730.6668106822,2911.15076926325,-4.82114477175489,-0.0143067323802507,-0.097654493405872
8,0,12133.1183881987,1652.93944018677,-Inf,-0.0480750216815347,-0.565993274505283
9,54.9405361817022,11769.5822577982,827.48889190081,Inf,-0.030420342032695,-0.691914777367956
10,56.4910251416285,11373.4291856776,1310.5976173317,0.0278303384596929,-0.0342385667922091,0.459842825129354
11,5.42337611731552,11470.9075975694,2169.38002670541,-2.34336325708038,0.00853419422492215,0.503958195129194
12,178.688970080681,11882.4770118099,2278.55955130159,3.49492817574922,0.0352507389191001,0.0491020428143325
