RunTime,Sp1,Sp2,Sp3
1,3e+05,150000,5000
2,135507.009923467,5420.28039693868,18622.5296795943
3,133863.993102348,4969.179452779,21166.8274448726
4,132912.490985448,5025.28115183021,22062.2278627217
5,120298.75320361,6939.08142176329,32762.1653746267
6,102691.85806797,15006.5685752929,38118.767498818
7,4782.56213267209,11957.4435177106,35830.7737324986
8,3763.10606142017,11637.1716397876,36907.4661365772
9,2925.83933511598,25026.5047794464,49207.0762628906
10,0,24033.5268188657,44964.8990049229
11,2746.22193023005,23532.2675403933,33089.8575062193
12,2814.36896977512,22678.4985976042,47971.9121098357
