LifeStage,Species,TimeStep,Cell1,Cell2,Cell3,Cell4
ALL,1,8,19116.8925227452,18541.0961809075,18556.2349867045,4492.55247141509
Seeds,2,8,86339.7029123483,84531.5342417098,84578.1313222577,1644.39773534579
Juveniles,2,8,1582.57152192485,1558.56085792893,1559.18233634969,174.142798500705
Adults,2,8,4320.68678279782,4315.63432537091,4315.76594775953,0
ALL,2,8,92242.961217071,90405.7294250096,90453.0796063669,1818.5405338465
Seeds,3,8,26480.0132709428,64205.0687723739,63234.4434935017,398001.564649072
Juveniles,3,8,6.15698158384375,14.3937003629488,14.1765551248194,35687.3423456663
Adults,3,8,0.00384342516866069,0.00919708282629536,0.00905669412792733,5103.17978476342
ALL,3,8,26486.1740959518,64219.4716698196,63248.6291053207,438792.086779502
Seeds,1,9,187.196164480574,181.162944869841,181.321903562097,3.25644761402616
Juveniles,1,9,1873.84950456884,1817.07004812404,1818.56282210979,35.4037615582122
Adults,1,9,37.8397477056815,37.0395699667106,37.0606765606527,0
ALL,1,9,2098.88541675509,2035.27256296059,2036.94540223254,38.6602091722384
Seeds,2,9,85171.0314915161,83356.789642862,83403.5866017518,1495.57683880259
Juveniles,2,9,8633.97029123483,8453.15342417098,8457.81313222577,164.43977353458
Adults,2,9,4262.90959585041,4255.70869489526,4255.89588400653,0
ALL,2,9,98067.9113786014,96065.6517619283,96117.2956179841,1660.01661233717
Seeds,3,9,28599.8774747802,69392.4363892628,68343.1726390969,398501.166713583
Juveniles,3,9,2648.00132709428,6420.50687723739,6323.44434935017,39800.1564649072
Adults,3,9,0.617619870968706,1.44396857770803,1.4221838595459,5406.57728003502
ALL,3,9,31248.4964217454,75814.3872350779,74668.0391723067,443707.900458526
Seeds,1,10,18622.6268391456,17898.3580623681,17917.6253269491,303.86715596534
Juveniles,1,10,18.7196164480574,18.1162944869841,18.1321903562097,0.325644761402616
Adults,1,10,191.168925227452,185.410961809075,185.562349867045,0
ALL,1,10,18832.5153808211,18101.8853186641,18121.3198671723,304.192800726743
Seeds,2,10,84029.1540766235,82200.8233612921,82248.0312559824,1391.46538550726
Juveniles,2,10,8517.10314915162,8335.6789642862,8340.35866017518,149.557683880259
Adults,2,10,4913.16114518137,4888.23860256759,4888.88240302878,0
ALL,2,10,97459.4183709565,95424.7409281459,95477.2723191863,1541.02306938752
Seeds,3,10,30563.9794477046,74060.9086476115,72941.5641139085,398304.667458527
Juveniles,3,10,2859.98774747802,6939.24363892628,6834.31726390969,39850.1166713583
Adults,3,10,265.108942644913,642.772672012593,633.05552686479,5887.30115721009
ALL,3,10,33689.0761378275,81642.9249585504,80408.936904683,444042.085287096
Seeds,1,11,94025.6404582068,70669.6351776868,71394.3616575404,1383.34275416261
Juveniles,1,11,1862.26268391456,1789.83580623681,1791.76253269491,30.386715596534
Adults,1,11,20.9888541675509,20.3527256296059,20.3694540223254,0
ALL,1,11,95908.8919962889,72479.8237095532,73206.4936442577,1413.72946975914
Seeds,2,11,96824.5702447137,74458.6166695986,75173.0919517047,1451.95485828122
Juveniles,2,11,8402.91540766235,8220.08233612921,8224.80312559824,139.146538550726
Adults,2,11,5519.21340283746,5477.39456886783,5478.47414889485,0
ALL,2,11,110746.699055213,88156.0935745956,88876.3692261978,1591.10139683195
Seeds,3,11,147579.836353465,254871.748152715,253432.546390755,397164.702387556
Juveniles,3,11,3056.39794477046,7406.09086476115,7294.15641139086,39830.4667458527
Adults,3,11,418.553246070258,1015.31069989892,999.959489823365,6131.65991231371
ALL,3,11,151054.787544306,263293.149717375,261726.662291969,443126.829045723
Seeds,1,12,10323.149184967,6748.28144742882,6834.96766157939,145.574261753076
Juveniles,1,12,9402.56404582068,7066.96351776868,7139.43616575404,138.334275416261
Adults,1,12,188.325153808211,181.018853186641,181.213198671723,0
ALL,1,12,19914.0383845959,13996.2638183841,14155.6170260052,283.908537169337
Seeds,2,12,108749.743826699,72584.7370569011,73473.3519512385,1560.36925016523
Juveniles,2,12,9682.45702447137,7445.86166695986,7517.30919517047,145.195485828122
Adults,2,12,6083.54427346183,6025.53307403736,6027.03075400994,0
ALL,2,12,124515.745124632,86056.1317978983,87017.6919004189,1705.56473599335
Seeds,3,12,215285.527841544,320666.98149567,319691.680387182,398294.056488082
Juveniles,3,12,14757.9836353465,25487.1748152715,25343.2546390755,39716.4702387556
Adults,3,12,514.916417512175,1248.26443642558,1229.39538605077,6252.26729582508
ALL,3,12,230558.427894402,347402.420747367,346264.330412308,444262.794022662
