RunTime,Sp1,Sp2,Sp3
1,1355070.09923467,54202.8039693868,186225.296795943
2,1338639.93102348,49691.79452779,211668.274448726
3,1342502.66560985,53094.6396114617,204402.694778689
4,1227858.1820583,72198.738443499,299943.0794982
5,1144246.54732026,94382.8400666554,361370.612613082
6,1102300.14997299,129370.245544183,368329.604482832
7,864378.72329877,136651.851204961,415822.57979761
8,7450.20407335229,250304.856563771,534792.518685445
9,0,251851.965703882,545435.861498635
10,13571.0237678692,243960.625567027,511722.545778833
11,35131.3776888879,262474.229691062,949684.660279629
12,2995.79381131253,249542.769500651,1071038.27643591
