RunTime,Sp1,Sp2,Sp3
1,3e+05,150000,5000
2,135507.009923467,5420.28039693868,18622.5296795943
3,133863.993102348,4969.179452779,21166.8274448726
4,134250.266560985,5309.46396114617,20440.2694778689
5,122785.81820583,7219.8738443499,29994.30794982
6,114424.654732026,9438.28400666554,36137.0612613082
7,6631.83823716731,12937.0245544183,34099.6489390738
8,3942.82782894766,13665.1851204961,36700.2324005882
9,745.020407335229,25030.4856563771,53479.2518685445
10,0,25185.1965703882,54543.5861498635
11,1357.10237678692,24396.0625567027,51172.2545778833
12,3513.13776888879,26247.4229691062,94968.4660279629
