"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,15559.9428628218,14440.0571371782,649.2,NA,NA,NA
2,15080.8241611909,14919.1758388092,588.965489588485,-0.0312758330030721,0.0326412642390437,-0.0973732452359861
3,9964.62188070313,14536.2316855654,1085.13388854433,-0.414383005476703,-0.0260030848545382,0.611091067537035
4,7133.28082201295,14032.8844552403,1780.7168400946,-0.334269736276027,-0.0352408047634576,0.495312623429321
5,7420.18855589823,13608.5996792947,2044.44608618833,0.0394331967699891,-0.0307015426802581,0.138110887916629
6,5617.98534043094,13257.614464279,3092.41111630687,-0.278231349416744,-0.0261298583476808,0.413824192870723
7,15.2843114833504,12778.2786557676,4193.15274419481,-5.90690148918992,-0.0368253145124634,0.304501812728504
8,0,12859.1795690723,4513.21998027483,-Inf,0.00631117025131723,0.0735579674428163
9,27.7956848014573,12433.5736944739,3496.13655870388,Inf,-0.0336575498670917,-0.255352344902776
10,72.0118050198974,13394.5472388917,4886.64811157292,0.9519492785069,0.074447331880662,0.334848092252589
11,7.00767440142027,14033.8143390509,6035.83952064928,-2.3298241726158,0.0466220257040072,0.211208342818771
12,122.077719108414,15133.110719176,5349.27701758786,2.85765199221027,0.0754153787097002,-0.120753538639289
