"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,1670630.04209749,218642.861106565,191874.496795943,NA,NA,NA
2,1489227.76510814,70031.2507635378,230879.769617908,-0.114943118843266,-1.13849804555482,0.185055601405467
3,1486331.2805929,72600.0507498061,226654.656112106,-0.00194685125424506,0.036024038959632,-0.0184695768241951
4,1369241.7294413,91541.0868598855,322164.065816163,-0.0820537514469039,0.23182228735107,0.351633416593348
5,1274452.55408199,115211.3135903,393409.366649091,-0.0717403873950883,0.22998004347409,0.199789778199869
6,1222342.79004544,152066.144015127,407559.076860447,-0.0417473800597885,0.277547632497943,0.0353351809132351
7,871025.84584742,162367.154415147,454115.381480878,-0.338852965804797,0.0655445719470489,0.108165413919296
8,11393.0319022999,276829.221253339,576005.971066308,-4.33666971829625,0.533540630149567,0.23776671709354
9,772.816092136686,289316.025054733,602411.249925883,-2.69071610502121,0.0441188166801092,0.0448223244103509
10,13643.0355728891,282540.369376307,571152.78004027,2.87094335012932,-0.0236981621391728,-0.0532836118756123
11,36495.4877400762,300904.106586815,1006892.75437816,0.983959452399935,0.0629701903982446,0.566967647314568
12,6631.00929930973,290923.303188933,1171356.01948146,-1.70543160460182,-0.0337319617144964,0.151292960763979
