"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,15559.9428628218,14440.0571371782,649.2,NA,NA,NA
2,14842.1892689257,15157.8107310743,683.207652587008,-0.0472260949696146,0.0485098685818184,0.0510580078645879
3,6482.54410663083,14608.9374562178,1460.1441741436,-0.828360709357349,-0.036882462947368,0.75949161573538
4,5304.40071402961,14044.4681499689,1411.8133385025,-0.200576242929272,-0.0394049036911303,-0.0336602464539226
5,3341.18555236186,13439.4104267365,1429.01856223735,-0.462211099628446,-0.0440371251939486,0.0121129547282647
6,4923.49178744446,13142.1509589222,3026.66702639779,0.387692291868663,-0.0223667719107298,0.750474134266371
7,8.94606978955794,12541.9404297106,2996.49388013452,-6.3105589644717,-0.0467464327185207,-0.0100191242228507
8,0,12814.9761043823,3855.0703287649,-Inf,0.0215362327090422,0.251946351791533
9,4.09670676524462,12315.9891860876,4705.10130198669,Inf,-0.0397161431301502,0.199258053147077
10,0,12066.676396089,3926.17674120918,-Inf,-0.0204507155551525,-0.180981190535912
11,0,11463.3425762846,1963.08837060459,NA,-0.0512932943875461,-0.693147180559945
12,12.0325186092853,11882.2757864882,1524.34560726062,Inf,0.0358935180261054,-0.252953724446584
