"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,1670630.04209749,218642.861106565,191874.496795943,NA,NA,NA
2,1488989.13021588,70269.885655803,230974.011780907,-0.115103372378289,-1.1350962894682,0.185463705303725
3,1464152.87848883,73767.4191025021,244631.328145664,-0.0168206183342554,0.0485738205608981,0.0574470930627806
4,1259441.94804508,138008.091990432,383310.642166986,-0.150608110806466,0.626395162498372,0.449093442447471
5,1081771.18852466,183919.512729648,398330.664910236,-0.152069037281292,0.287185910041173,0.0384367401148058
6,888565.418386569,213356.418870369,427225.22287957,-0.196746693397455,0.148465864194723,0.0700288515192023
7,809116.265996762,180159.528108177,467707.826267899,-0.0936656503546294,-0.169121369630892,0.0905324698889624
8,8004.07696728964,274072.727153051,535920.816617169,-4.61599158964836,0.419550773079369,0.136142621852664
9,441.554862479724,288209.716337562,577921.868862292,-2.8974040356094,0.0502948981336277,0.0754522645909097
10,1994.98836699154,278360.467277807,608111.134738808,1.50809122207389,-0.0347714782110842,0.0509189681052579
11,199.498836699154,272192.435088241,635360.538457801,-2.30258509299405,-0.022407620566142,0.0438349622052184
12,12.0325186092853,262083.863096031,545855.216156326,-2.80819553645194,-0.0378447573940836,-0.151838846161393
