RunTime,Sp1,Sp2,Sp3
1,3e+05,150000,5000
2,135507.009923467,5420.28039693868,18622.5296795943
3,133863.993102348,4969.179452779,21166.8274448726
4,132380.634127985,5418.93021935053,22200.4356526648
5,112175.691320307,11854.4693621113,35969.8393175819
6,96625.4311651991,15862.56329408,36093.1807030416
7,4627.828844637,18435.1704617367,35644.9500496994
8,3629.49541014486,14918.2417216729,36958.1788440283
9,437.458155714479,24633.9509326996,49510.7567444376
10,0,25125.9776218774,52370.6010815868
11,199.498836699154,24116.7813259841,55181.4356916012
12,0,23661.2311185973,57821.6014395595
