RunTime,Sp1,Sp2,Sp3
1,1355070.09923467,54202.8039693868,186225.296795943
2,1338639.93102348,49691.79452779,211668.274448726
3,1323806.34127985,54189.3021935053,222004.356526648
4,1121756.91320307,118544.693621113,359698.393175819
5,966254.311651991,158625.6329408,360931.807030416
6,787016.495433925,184351.704617367,388105.37515013
7,804479.491082336,149182.417216729,429066.382338065
8,4374.58155714479,246339.509326996,495107.567444375
9,0,251259.776218774,523706.010815868
10,1994.98836699154,241167.813259841,551814.356916012
11,0,236612.311185973,578216.014395595
12,0,226540.356190945,486509.269109506
