RunTime,Sp1,Sp2,Sp3
1,3e+05,150000,5000
2,135507.009923467,5420.28039693868,18622.5296795943
3,133863.993102348,4969.179452779,21166.8274448726
4,131733.742918903,5871.79106683228,22394.4660142645
5,121459.436451682,6529.04723229364,32011.5163160244
6,120718.746534905,10021.666858185,28755.9978690527
7,8642.63352485581,14819.3333691778,13812.6587568056
8,7423.75535796114,14723.3559690833,33025.3162163326
9,1632.24929079898,27016.2805353309,28631.5805284077
10,0,25890.4208534134,14315.7902642039
11,3158.8047723441,25465.1822380167,7157.89513210193
12,6172.9559696272,26998.8303295716,7480.04703414777
