RunTime,Sp1,Sp2,Sp3
1,1355070.09923467,54202.8039693868,186225.296795943
2,1338639.93102348,49691.79452779,211668.274448726
3,1317337.42918903,58717.9106683228,223944.660142645
4,1214594.36451682,65290.4723229364,320115.163160244
5,1207187.46534905,100216.66858185,287559.978690527
6,970815.494062017,148193.333691778,149181.838221372
7,1092069.51617453,147233.559690833,360696.924134639
8,16322.4929079898,270162.805353309,286315.805284077
9,0,258904.208534134,143157.902642039
10,31588.047723441,254651.822380167,71578.9513210193
11,61729.559696272,269988.303295716,74800.4703414777
12,6172.9559696272,279234.548861937,58870.0718502005
