"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,1670630.04209749,218642.861106565,191874.496795943,NA,NA,NA
2,1488382.62105156,70876.39482012,230963.280712288,-0.115510784836912,-1.12650218560288,0.185417244155013
3,1462713.70537053,79084.255807148,246632.65509444,-0.0173966283809315,0.109576371477258,0.0656412633396836
4,1355286.18266061,86091.5891732645,343291.163028101,-0.0762807758325523,0.0848979066071416,0.330678955609221
5,1335529.98766592,121179.055215746,319977.861942417,-0.0146844293695745,0.341857527009912,-0.0703271469094002
6,1097642.04330858,172254.310088917,179126.289367055,-0.196163925557528,0.351702684917335,-0.58016072770698
7,1100744.80425298,175564.992372775,375225.58219245,0.00282276343499125,0.0190373693946267,0.739436313359726
8,23746.2482659509,297835.165807413,319699.121150912,-3.83631777418366,0.528530897333188,-0.160147090541977
9,1695.44390226702,298656.811931072,171968.482995698,-2.6394799544645,0.00275492940052721,-0.620069085455306
10,31711.5430269575,294045.614886261,86081.7975684799,2.9287361521568,-0.015560220017841,-0.692013242897249
11,64900.7139989678,309419.304961922,82105.5837881713,0.716177877229169,0.0509624230492943,-0.0472919525470333
12,12525.1173158372,320632.731896112,66443.5938655642,-1.64512261171348,0.0355989996824614,-0.211652651003771
