RunTime,Sp1,Sp2,Sp3
1,3,3,1
2,3,3,1
3,3,3,4
4,3,3,4
5,3,3,4
6,3,3,4
7,2,3,1
8,0,3,1
9,2,3,1
10,2,3,3
11,2,3,3
12,2,3,3
