"ChangeStep","Species","Cell","Dominant.EigenValue","Per.Capita.Seeds.Exported","Per.Capita.Seeds.Imported","Prop.seeds.exported"
1,1,1,1.69604403524897,40.741,40.741,0.0815058812231984
1,1,2,1.69604403524897,40.741,40.741,0.0815058812231984
1,1,3,1.69604403524897,40.741,40.741,0.0815058812231984
1,1,4,0.1,40.741,40.741,0.0815058812231984
1,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
1,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
1,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
1,2,4,0.95,1.62964,1.62964,0.0815058812231984
1,3,1,1.7288448609347,32.5928,32.5928,0.0815058812231984
1,3,2,1.7288448609347,32.5928,32.5928,0.0815058812231984
1,3,3,1.7288448609347,32.5928,32.5928,0.0815058812231984
1,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
2,1,1,1.69604403524897,40.741,40.741,0.0815058812231984
2,1,2,1.69604403524897,40.741,40.741,0.0815058812231984
2,1,3,1.69604403524897,40.741,40.741,0.0815058812231984
2,1,4,0.1,40.741,40.741,0.0815058812231984
2,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
2,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
2,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
2,2,4,0.95,1.62964,1.62964,0.0815058812231984
2,3,1,1.7288448609347,32.5928,32.5928,0.0815058812231984
2,3,2,1.7288448609347,32.5928,32.5928,0.0815058812231984
2,3,3,1.7288448609347,32.5928,32.5928,0.0815058812231984
2,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
3,1,1,1.69604403524897,40.741,40.741,0.0815058812231984
3,1,2,1.69604403524897,40.741,40.741,0.0815058812231984
3,1,3,1.69604403524897,40.741,40.741,0.0815058812231984
3,1,4,0.1,40.741,40.741,0.0815058812231984
3,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
3,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
3,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
3,2,4,0.95,1.62964,1.62964,0.0815058812231984
3,3,1,1.7288448609347,32.5928,32.5928,0.0815058812231984
3,3,2,1.7288448609347,32.5928,32.5928,0.0815058812231984
3,3,3,1.7288448609347,32.5928,32.5928,0.0815058812231984
3,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
4,1,1,1.69604403524897,40.741,40.741,0.0815058812231984
4,1,2,1.69604403524897,40.741,40.741,0.0815058812231984
4,1,3,1.69604403524897,40.741,40.741,0.0815058812231984
4,1,4,0.1,40.741,40.741,0.0815058812231984
4,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
4,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
4,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
4,2,4,0.95,1.62964,1.62964,0.0815058812231984
4,3,1,1.7288448609347,32.5928,32.5928,0.0815058812231984
4,3,2,1.7288448609347,32.5928,32.5928,0.0815058812231984
4,3,3,1.7288448609347,32.5928,32.5928,0.0815058812231984
4,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
5,1,1,1.69604403524897,40.741,40.741,0.0815058812231984
5,1,2,1.69604403524897,40.741,40.741,0.0815058812231984
5,1,3,1.69604403524897,40.741,40.741,0.0815058812231984
5,1,4,0.1,40.741,40.741,0.0815058812231984
5,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
5,2,2,1.10138990745745,1.62964,1.62964,0.0815058812231984
5,2,3,1.10138990745745,1.62964,1.62964,0.0815058812231984
5,2,4,0.95,1.62964,1.62964,0.0815058812231984
5,3,1,1.7288448609347,32.5928,32.5928,0.0815058812231984
5,3,2,1.7288448609347,32.5928,32.5928,0.0815058812231984
5,3,3,1.7288448609347,32.5928,32.5928,0.0815058812231984
5,3,4,1.6198387844121,32.5928,32.5928,0.0815058812231984
6,1,1,1.69604403524897,40.741,40.741,0.0815058812231984
6,1,2,1.69604403524897,40.741,40.741,0.0815058812231984
6,1,3,1.69604403524897,40.741,40.741,0.0815058812231984
6,1,4,0.1,40.741,40.741,0.0815058812231984
6,2,1,1.10138990745745,1.62964,1.62964,0.0815058812231984
