"ChangeStep","Species","A.Eigen","Is.Irreducible","Is.Ergodic","Max.Local.Eigen","Median.Local.Eigen","Min.Local.Eigen","Max.Seed.Export","Median.Seed.Export","Min.Seed.Export","Max.Seed.Import","Median.Seed.Import","Min.Seed.Import","Prop.Dispersing"
1,1,1.72814071263082,0,0,1.69549006834478,1.69549006834478,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
1,2,1.10808609225105,0,0,1.1010337143227,1.1010337143227,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
1,3,1.76133174750101,1,1,1.7278292812304,1.7278292812304,1.61889817504928,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
2,1,1.60649417991671,0,0,1.58422826952772,1.572395097087,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
2,2,1.07856251204793,0,0,1.07352951272135,1.07231216115835,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
2,3,1.67302938322399,1,1,1.64899337776498,1.64059702204635,1.43849048537385,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
3,1,1.61851342145919,0,0,1.61585528364257,1.48773706583298,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
3,2,1.08726349353811,0,0,1.08631559890605,1.06943928083275,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
3,3,1.63659336620825,1,1,1.63262926005237,1.53738580353977,1.34846331261056,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
4,1,1.47856423229473,0,0,1.47612854152215,1.31495356811193,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
4,2,1.05291693624317,0,0,1.05231881014995,1.031313292414,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
4,3,1.5705664851142,1,1,1.56379650791277,1.5084321517826,1.32019475894742,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
5,1,1.65186778164881,0,0,1.65122262582918,1.13308067964031,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
5,2,1.08706281218121,0,0,1.08681471379068,1.02882100191522,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
5,3,1.69685547694533,1,1,1.6948715467028,1.54172666477075,0.984269047069051,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
6,1,1.57402708324907,0,0,1.57382003319212,0.728642204369867,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
6,2,1.08375147228569,0,0,1.08367195990033,1.01012811636616,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
6,3,1.62797500205799,1,1,1.62378855821076,1.49999082065345,0.784327206173806,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
7,1,0.1,0,0,0.1,0.0402096338823697,0,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
7,2,1.03664893692061,0,0,1.03660769119667,0.964043186519687,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
7,3,1.61275090101651,0,0,1.61275087500236,0.0435797759639637,0,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
8,1,0.1,0,0,0.1,0.0681839147040003,0,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
8,2,1.08989133225979,0,0,1.08955229184197,1.01047917797163,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
8,3,1.564424038584,1,1,1.56442398002533,0.0643107056879057,0.0223750013390968,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
9,1,1.36549724673944,0,0,1.36539643456199,0.593446529111815,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
9,2,1.04780443681391,0,0,1.04777880646345,0.980091853366829,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
9,3,1.38602788315281,0,0,1.38447735473451,1.21805807384819,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
10,1,1.68787936570413,0,0,1.68028895329698,0.889376550284927,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
10,2,1.09707671009475,0,0,1.09596354490894,1.02216996213403,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
10,3,1.72859344787256,0,0,1.72140610701755,1.57029214583189,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
11,1,1.62717886551434,0,0,1.62350174024033,0.854904669264617,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
11,2,1.07962505746281,0,0,1.07901512336943,1.01280414319734,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
11,3,1.66862112858662,0,0,1.66260155712126,1.5830345896361,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
12,1,1.69633103285615,0,0,1.69486716193745,1.3980792594161,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
12,2,1.10102022492582,0,0,1.10073236319678,1.05271294766067,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
12,3,1.72556518756762,1,1,1.72384891910185,1.4752802374895,1.2803805899449,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
