"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,15559.9428628218,14440.0571371782,649.2,NA,NA,NA
2,15237.6182300449,14762.3817699551,386.869424005211,-0.020932592761273,0.0220760823571238,-0.517653605216044
3,10031.3831912709,14362.5412281452,647.513066972762,-0.418048756050452,-0.0274586589705118,0.515051743598589
4,1003.13831912709,13644.4141667379,323.756533486381,-2.30258509299405,-0.0512932943875535,-0.693147180559945
5,7904.53229102717,13270.8625580407,598.114120504027,2.06430289780799,-0.0277593724866077,0.613789779243796
6,8344.04978729955,13072.2781592186,361.736709103231,0.054112381828489,-0.015077029936356,-0.502864948427946
7,12.6151474126959,13021.8227918381,154.740973910398,-6.49440569596746,-0.00386719054669154,-0.849164041327065
8,0,12909.082199223,977.4250428762,-Inf,-0.00869551625996642,1.84316902348786
9,84.2684648002357,12832.7986386936,1002.13035677513,Inf,-0.00592682285432803,0.0249617633252714
10,52.492259732362,13884.6196263285,931.275679786514,-0.473341986928449,0.0787774385684388,-0.0733280248417011
11,4.54782925938512,15084.2291352829,1741.08550510437,-2.4460156917871,0.0828680440901041,0.62570870627788
12,234.809132230378,15619.8258880647,1059.96934446398,3.94412294758162,0.0348912277198017,-0.496268784830216
