"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,1670630.04209749,218642.861106565,191874.496795943,NA,NA,NA
2,1489384.559177,69874.4566946838,230677.673552325,-0.114837838899497,-1.14073947140295,0.184179887747335
3,1503198.06462355,72120.8219656524,165884.736674624,0.00923189451447485,0.0316426394085677,-0.329728193726473
4,1403252.97265907,91669.6065233913,251809.459679236,-0.0688017883639018,0.239848084184,0.417379499333273
5,635958.688641517,293353.8178486,153770.649602279,-0.791414765965945,1.1631885702922,-0.493210485105675
6,1279422.73297139,123267.426561556,234073.744096577,0.699030659056757,-0.867023255032599,0.420174007396967
7,1232140.84778021,101780.042789995,144867.578513547,-0.037655803265204,-0.191542153330932,-0.479816137900063
8,17729.6125740869,281315.908997284,74292.0247033804,-4.24127219364181,1.01666422758889,-0.667816466679117
9,714.841023525434,296974.810196986,398045.418684432,-3.21093137414409,0.0541690518881853,1.67856250922871
10,42174.379329757,296275.991876456,440751.51500557,4.0775080175098,-0.00235589616164155,0.101915142536333
11,30455.1762863921,318353.335048227,414215.681213263,-0.325556939086049,0.0718704575583939,-0.0620944513252741
12,5111.32195556993,342717.910879581,590316.998550685,-1.78479790221494,0.0737458090836677,0.354272871010441
