"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,15559.9428628218,14440.0571371782,649.2,NA,NA,NA
2,13808.4376061755,16191.5623938245,607.895880863786,-0.119420020629339,0.114484176341604,-0.0657372169182807
3,4457.49123132337,15540.4386547186,590.497128443571,-1.13069372247946,-0.041044694666269,-0.0290388460202357
4,7620.3005326179,15049.077094845,1588.12146787456,0.536229705317367,-0.0321289052875675,0.989342357284752
5,5977.87174391967,14517.3306685576,2055.14821815343,-0.242751199945881,-0.0359735124701979,0.257796119964842
6,6730.07984218457,14693.1789154049,2723.62554718239,0.118522398258488,0.0120402124914634,0.281615943545157
7,65.2640863932259,14548.6733133673,3400.62005834534,-4.63590037986725,-0.00988355848580885,0.221993870581746
8,0,14292.8730967558,4280.509715974,-Inf,-0.017738780059768,0.230114309923763
9,49.7221712987116,14616.6129026575,4719.57598551606,Inf,0.0223977236872668,0.0976468669650365
10,200.612729205488,15642.6549431262,5520.10837100984,1.39492539295689,0.0678427222316316,0.156678530540528
11,20.0612729205488,15258.9993943901,4744.96741786474,-2.30258509299405,-0.0248320208866072,-0.151312927112216
12,53.8857246529598,15218.2614701918,3780.46559462574,0.988074357916157,-0.00267333397454369,-0.227237390185677
