"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,1670630.04209749,218642.861106565,191874.496795943,NA,NA,NA
2,1487955.37855313,71303.6373185532,230898.700009184,-0.115797877567255,-1.12049228705432,0.185137590465294
3,1459985.22992506,82517.1963006024,238086.000788821,-0.0189766292503783,0.146059371222813,0.0306528700117954
4,1245275.90818503,175443.520667589,248532.896540605,-0.159069200815227,0.754310459925659,0.0429432609670044
5,1273566.3286285,124481.135190141,373002.36944178,0.0224639794456033,-0.343162991706423,0.406009554794214
6,1206375.51347804,148469.94862357,429301.422203162,-0.0542006769275231,0.176228391746139,0.14057451605277
7,890973.369686772,164706.246578965,460255.605483418,-0.303061160958329,0.10378099188421,0.0696227111861599
8,35978.8023743602,313625.786511505,549036.121405756,-3.20938459680868,0.644036949015225,0.176382235002042
9,3253.87680274319,323202.60909791,593094.143582934,-2.40308279426825,0.0300788868261391,0.0771889102915143
10,24549.9651891448,329766.070274745,612282.53250643,2.02086328845297,0.0201041258141421,0.0318406858580229
11,100852.938991297,350073.694122981,861016.3506937,1.41295296989775,0.0597601618246036,0.340919664195166
12,19740.9738106513,344836.212131148,797235.460632124,-1.6309670415447,-0.0150741300998679,-0.0769634257754589
