RunTime,Sp1,Sp2,Sp3
1,1355070.09923467,54202.8039693868,186225.296795943
2,1338639.93102348,49691.79452779,211668.274448726
3,1321663.74559139,62007.5781931048,216328.676215505
4,1105489.23309328,154193.685753433,225311.90745118
5,1157039.53357525,94544.4359462396,348416.030478509
6,1083941.48027833,124322.326113542,391736.193608129
7,886042.09319892,137725.340654243,421020.739187351
8,32041.5463144448,285560.379349325,508080.025817506
9,0,280029.95826032,537566.565015668
10,24349.3524599393,286120.419505586,553005.767633854
11,98397.9424723822,306202.652778032,800970.80651245
12,9847.29383876012,298997.685383153,713357.914386254
