RunTime,Sp1,Sp2,Sp3
1,3e+05,150000,5000
2,135507.009923467,5420.28039693868,18622.5296795943
3,133863.993102348,4969.179452779,21166.8274448726
4,132166.374559139,6200.75781931048,21632.8676215505
5,110548.923309328,15419.3685753433,22531.190745118
6,115703.953357525,9454.44359462396,34841.6030478509
7,4866.01240145896,12432.2326113542,35834.2462377213
8,3937.25605991533,13772.5340654243,36675.5858722759
9,3204.15463144448,28556.0379349325,50808.0025817506
10,0,28002.995826032,53756.6565015668
11,2434.93524599393,28612.0419505586,55300.5767633854
12,9839.79424723822,30620.2652778032,80097.080651245
