"ChangeStep","Species","A.Eigen","Is.Irreducible","Is.Ergodic","Max.Local.Eigen","Median.Local.Eigen","Min.Local.Eigen","Max.Seed.Export","Median.Seed.Export","Min.Seed.Export","Max.Seed.Import","Median.Seed.Import","Min.Seed.Import","Prop.Dispersing"
1,1,1.72814071263082,0,0,1.69549006834478,1.69549006834478,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
1,2,1.10808609225105,0,0,1.1010337143227,1.1010337143227,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
1,3,1.76133174750101,1,1,1.7278292812304,1.7278292812304,1.61889817504928,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
2,1,1.62182320515394,0,0,1.61854435698927,1.44002838401403,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
2,2,1.08417209582055,0,0,1.08328593759299,1.05610588637854,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
2,3,1.6834934026765,1,1,1.6774468906244,1.57327145557149,1.46851709815969,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
3,1,1.66734916469907,0,0,1.64515487435929,1.61337169411997,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
3,2,1.09915179165987,0,0,1.09382477360548,1.08962018454553,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
3,3,1.69102338381717,1,1,1.66773535017936,1.64431745593934,1.5143105786363,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
4,1,1.67775439213632,0,0,1.67201261072794,1.32251053715415,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
4,2,1.09422045685653,0,0,1.09204947808492,1.04677887383087,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
4,3,1.71660236620576,0,0,1.7096564267033,1.43446014070277,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
5,1,1.65517904126204,0,0,1.65360682372802,0.782253844673891,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
5,2,1.08940710719559,0,0,1.08895681067204,1.0054127509178,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
5,3,1.70358452294166,0,0,1.70187777982896,1.02452934590425,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
6,1,1.560633685751,0,0,1.55914144801981,1.13281290077748,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
6,2,1.08158164813942,0,0,1.08117693614203,1.02355230480244,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
6,3,1.59996808709881,1,1,1.59797369451902,1.34049367688032,1.07185857650287,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
7,1,0.1,0,0,0.1,0.0582947966020106,0,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
7,2,1.0315728722394,0,0,1.02968216268624,0.98915275375972,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
7,3,0.815376701744585,0,0,0.815376608136203,0.0563942670801416,0,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
8,1,0.1,0,0,0.1,0.0424483474874055,0,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
8,2,1.01010750827036,0,0,1.01003951996955,0.965547212274707,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
8,3,0.5,0,0,0.5,0.0360824368384242,0,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
9,1,1.63441607606129,0,0,1.62337961961522,0.850999869071403,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
9,2,1.08792821292287,0,0,1.08531519144098,1.0160762014706,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
9,3,1.69221344446813,0,0,1.68121562220605,1.08207693206705,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
10,1,1.57095687682523,0,0,1.56300081885407,0.814948793386552,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
10,2,1.08143281455621,0,0,1.07913903469413,1.01268706161367,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
10,3,1.58929164881632,0,0,1.58088739964481,1.02890863370296,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
11,1,1.64835069249851,0,0,1.64791860570653,0.650143716203816,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
11,2,1.09357237242699,0,0,1.09344001559312,0.988078935940853,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
11,3,1.69773292810009,0,0,1.69724854803572,0.914125999528908,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
12,1,1.47690412058621,0,0,1.47414239745833,0.740291060296405,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
12,2,1.06793779271407,0,0,1.06724728258025,1.00124123326889,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
12,3,1.5316316459448,0,0,1.52880642408068,0.97597321235938,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
