"ChangeStep","Species","Cell","Dominant.EigenValue","Per.Capita.Seeds.Exported","Per.Capita.Seeds.Imported","Prop.seeds.exported"
3,3,1,1.66648283242052,32.5928,32.5928,0.0815058812231984
3,3,2,1.66773535017936,32.5928,32.5928,0.0815058812231984
3,3,3,1.62215207945816,32.5928,32.5928,0.0815058812231984
3,3,4,1.5143105786363,32.5928,32.5928,0.0815058812231984
4,1,1,1.67201261072794,40.741,40.741,0.0815058812231984
4,1,2,1.61119515846982,40.741,40.741,0.0815058812231984
4,1,3,1.03382591583847,40.741,40.741,0.0815058812231984
4,1,4,0.1,40.741,40.741,0.0815058812231984
4,2,1,1.09204947808492,1.62964,1.62964,0.0815058812231984
4,2,2,1.08640211698467,1.62964,1.62964,0.0815058812231984
4,2,3,1.00715563067707,1.62964,1.62964,0.0815058812231984
4,2,4,0.95,1.62964,1.62964,0.0815058812231984
4,3,1,1.7096564267033,32.5928,32.5928,0.0815058812231984
4,3,2,1.66917511815092,32.5928,32.5928,0.0815058812231984
4,3,3,1.19974516325462,32.5928,32.5928,0.0815058812231984
4,3,4,0.5,32.5928,32.5928,0.0815058812231984
5,1,1,1.65360682372802,40.741,40.741,0.0815058812231984
5,1,2,1.46450768934778,40.741,40.741,0.0815058812231984
5,1,3,0.1,40.741,40.741,0.0815058812231984
5,1,4,0.1,40.741,40.741,0.0815058812231984
5,2,1,1.08895681067204,1.62964,1.62964,0.0815058812231984
5,2,2,1.06082550183559,1.62964,1.62964,0.0815058812231984
5,2,3,0.95,1.62964,1.62964,0.0815058812231984
5,2,4,0.95,1.62964,1.62964,0.0815058812231984
5,3,1,1.70187777982896,32.5928,32.5928,0.0815058812231984
5,3,2,1.5490586918085,32.5928,32.5928,0.0815058812231984
5,3,3,0.5,32.5928,32.5928,0.0815058812231984
5,3,4,0.5,32.5928,32.5928,0.0815058812231984
6,1,1,1.37884509445952,40.741,40.741,0.0815058812231984
6,1,2,1.55914144801981,40.741,40.741,0.0815058812231984
6,1,3,0.886780707095431,40.741,40.741,0.0815058812231984
6,1,4,0.1,40.741,40.741,0.0815058812231984
6,2,1,1.05220556638205,1.62964,1.62964,0.0815058812231984
6,2,2,1.08117693614203,1.62964,1.62964,0.0815058812231984
6,2,3,0.994899043222831,1.62964,1.62964,0.0815058812231984
6,2,4,0.95,1.62964,1.62964,0.0815058812231984
6,3,1,1.45013161043862,32.5928,32.5928,0.0815058812231984
6,3,2,1.59797369451902,32.5928,32.5928,0.0815058812231984
6,3,3,1.07185857650287,32.5928,32.5928,0.0815058812231984
6,3,4,1.23085574332201,32.5928,32.5928,0.0815058812231984
7,1,1,0.0585397908484257,40.741,40.741,0.0815058812231984
7,1,2,0.0580498023555956,40.741,40.741,0.0815058812231984
7,1,3,0,40.741,40.741,0.0815058812231984
7,1,4,0.1,40.741,40.741,0.0815058812231984
7,2,1,1.02968216268624,1.62964,1.62964,0.0815058812231984
7,2,2,1.02830550751944,1.62964,1.62964,0.0815058812231984
7,2,3,0.95,1.62964,1.62964,0.0815058812231984
7,2,4,0.95,1.62964,1.62964,0.0815058812231984
7,3,1,0.0566054411451367,32.5928,32.5928,0.0815058812231984
7,3,2,0.0561830930151465,32.5928,32.5928,0.0815058812231984
7,3,3,0,32.5928,32.5928,0.0815058812231984
7,3,4,0.815376608136203,32.5928,32.5928,0.0815058812231984
8,1,1,0.0360249724248162,40.741,40.741,0.0815058812231984
8,1,2,0.0488717225499949,40.741,40.741,0.0815058812231984
8,1,3,0,40.741,40.741,0.0815058812231984
8,1,4,0.1,40.741,40.741,0.0815058812231984
8,2,1,0.981094424549413,1.62964,1.62964,0.0815058812231984
8,2,2,1.01003951996955,1.62964,1.62964,0.0815058812231984
8,2,3,0.95,1.62964,1.62964,0.0815058812231984
8,2,4,0.95,1.62964,1.62964,0.0815058812231984
8,3,1,0.0312553264762183,32.5928,32.5928,0.0815058812231984
8,3,2,0.0409095472006301,32.5928,32.5928,0.0815058812231984
8,3,3,0,32.5928,32.5928,0.0815058812231984
8,3,4,0.5,32.5928,32.5928,0.0815058812231984
9,1,1,1.62337961961522,40.741,40.741,0.0815058812231984
9,1,2,1.60199973814281,40.741,40.741,0.0815058812231984
9,1,3,0.1,40.741,40.741,0.0815058812231984
9,1,4,0.1,40.741,40.741,0.0815058812231984
9,2,1,1.08531519144098,1.62964,1.62964,0.0815058812231984
9,2,2,1.0821524029412,1.62964,1.62964,0.0815058812231984
9,2,3,0.95,1.62964,1.62964,0.0815058812231984
9,2,4,0.95,1.62964,1.62964,0.0815058812231984
9,3,1,1.68121562220605,32.5928,32.5928,0.0815058812231984
9,3,2,1.6641538641341,32.5928,32.5928,0.0815058812231984
9,3,3,0.5,32.5928,32.5928,0.0815058812231984
9,3,4,0.5,32.5928,32.5928,0.0815058812231984
10,1,1,1.56300081885407,40.741,40.741,0.0815058812231984
10,1,2,1.5298975867731,40.741,40.741,0.0815058812231984
10,1,3,0.1,40.741,40.741,0.0815058812231984
10,1,4,0.1,40.741,40.741,0.0815058812231984
10,2,1,1.07913903469413,1.62964,1.62964,0.0815058812231984
10,2,2,1.07537412322734,1.62964,1.62964,0.0815058812231984
10,2,3,0.95,1.62964,1.62964,0.0815058812231984
10,2,4,0.95,1.62964,1.62964,0.0815058812231984
10,3,1,1.58088739964481,32.5928,32.5928,0.0815058812231984
10,3,2,1.55781726740592,32.5928,32.5928,0.0815058812231984
10,3,3,0.5,32.5928,32.5928,0.0815058812231984
10,3,4,0.5,32.5928,32.5928,0.0815058812231984
11,1,1,1.20028743240763,40.741,40.741,0.0815058812231984
11,1,2,1.64791860570653,40.741,40.741,0.0815058812231984
11,1,3,0.1,40.741,40.741,0.0815058812231984
11,1,4,0.1,40.741,40.741,0.0815058812231984
11,2,1,1.02615787188171,1.62964,1.62964,0.0815058812231984
11,2,2,1.09344001559312,1.62964,1.62964,0.0815058812231984
11,2,3,0.95,1.62964,1.62964,0.0815058812231984
11,2,4,0.95,1.62964,1.62964,0.0815058812231984
11,3,1,1.32825199905782,32.5928,32.5928,0.0815058812231984
11,3,2,1.69724854803572,32.5928,32.5928,0.0815058812231984
11,3,3,0.5,32.5928,32.5928,0.0815058812231984
11,3,4,0.5,32.5928,32.5928,0.0815058812231984
12,1,1,1.47414239745833,40.741,40.741,0.0815058812231984
12,1,2,1.38058212059281,40.741,40.741,0.0815058812231984
12,1,3,0.1,40.741,40.741,0.0815058812231984
12,1,4,0.1,40.741,40.741,0.0815058812231984
12,2,1,1.06724728258025,1.62964,1.62964,0.0815058812231984
12,2,2,1.05248246653778,1.62964,1.62964,0.0815058812231984
12,2,3,0.95,1.62964,1.62964,0.0815058812231984
12,2,4,0.95,1.62964,1.62964,0.0815058812231984
12,3,1,1.52880642408068,32.5928,32.5928,0.0815058812231984
12,3,2,1.45194642471876,32.5928,32.5928,0.0815058812231984
12,3,3,0.5,32.5928,32.5928,0.0815058812231984
12,3,4,0.5,32.5928,32.5928,0.0815058812231984
