LifeStage,Species,TimeStep,Cell1,Cell2,Cell3,Cell4
Juveniles,2,8,5507.84470400642,2005.82186616547,7804.14649889812,309.878385442343
Adults,2,8,4040.07064027877,4377.28850681407,3631.11231663643,0
ALL,2,8,92308.2863824606,92128.0499218467,85734.6012742034,4427.1005435761
Seeds,3,8,9916.16936932778,24059.9818252362,23696.176610687,395405.558735514
Juveniles,3,8,9.66607812614349,10.0271441692343,30.2431973658344,36776.5058581763
Adults,3,8,0,0,0,2367.10797807488
ALL,3,8,9925.83544745392,24070.0089694054,23726.4198080528,434549.172571766
Seeds,1,9,0,0,0,0
Juveniles,1,9,1291.05549459718,1655.83595877144,70.1996400871785,47.7219106351827
Adults,1,9,0,32.891209679938,0,0
ALL,1,9,1291.05549459718,1688.72716845138,70.1996400871785,47.7219106351827
Seeds,2,9,79593.4701313804,84109.3029538263,70656.7608039789,2986.13329067214
Juveniles,2,9,8276.03710381754,8574.49395488672,7429.93424586688,411.722215813376
Adults,2,9,3838.06710826483,4341.13553778626,3449.55670080461,0
ALL,2,9,91707.5743434628,97024.9324464993,81536.2517506504,3397.85550648552
Seeds,3,9,13265.2731091317,32186.0405994798,31699.3631991876,397013.866709328
Juveniles,3,9,991.616936932778,2405.99818252362,2369.6176610687,39540.5558735514
Adults,3,9,0,0,0,2272.46621832281
ALL,3,9,14256.8900460644,34592.0387820034,34068.9808602563,438826.888801202
Seeds,1,10,550.582404437322,15100.7655041805,230.402923807966,265.717139136788
Juveniles,1,10,0,0,0,0
Adults,1,10,0,99.2422060180837,0,0
ALL,1,10,550.582404437322,15200.0077101986,230.402923807966,265.717139136788
Seeds,2,10,75736.1365617293,83259.2423455931,67175.1185138388,3011.84588530023
Juveniles,2,10,7959.34701313804,8410.93029538263,7065.67608039789,298.613329067214
Adults,2,10,3646.16375285159,4651.35088417627,3277.07886576438,0
ALL,2,10,87341.647327719,96321.523525152,77517.8734600011,3310.45921436745
Seeds,3,10,12734.900687481,30899.1776637789,30431.9586092917,396722.436975563
Juveniles,3,10,1326.52731091317,3218.60405994798,3169.93631991876,39701.3866709328
Adults,3,10,0,151.953127325246,0,2026.92604460771
ALL,3,10,14061.4279983942,34269.7348510521,33601.8949292105,438450.749691103
Seeds,1,11,1661.26490763971,45563.3373104775,695.191653156676,894.12586737808
Juveniles,1,11,55.0582404437322,1510.07655041805,23.0402923807966,26.5717139136788
Adults,1,11,0,9.92422060180837,0,0
ALL,1,11,1716.32314808344,47083.3380814973,718.231945537473,920.697581291759
Seeds,2,11,72302.3806019483,88779.3691362767,63964.1042370898,3380.96078056808
Juveniles,2,11,7573.61365617294,8325.92423455931,6717.51185138388,301.184588530023
Adults,2,11,3788.84808742219,4764.07800203947,3113.22492247616,0
ALL,2,11,83664.8423455434,101869.371372876,73794.8410109498,3682.14536909811
Seeds,3,11,13393.7890538703,83371.3829490293,27995.3281444992,395724.913352054
Juveniles,3,11,1273.4900687481,3089.91776637789,3043.19586092917,39672.2436975563
Adults,3,11,65.8549557013132,217.517611864391,0,1013.46302230385
ALL,3,11,14733.1340783198,86678.8183272716,31038.5240054284,436410.620071914
Seeds,1,12,166.126490763971,4556.33373104775,69.5191653156676,168.677015458636
Juveniles,1,12,166.126490763971,4556.33373104775,69.5191653156676,89.412586737808
Adults,1,12,4.08794841781589,104.007818278409,0,0
ALL,1,12,336.340929945758,9216.6752803739,139.038330631335,258.089602196444
Seeds,2,12,74886.7891458651,90899.1729941079,61083.6000056997,6385.09444815384
Juveniles,2,12,7230.23806019483,8877.93691362767,6396.41042370898,338.096078056808
Adults,2,12,4206.64866268427,5151.48599864203,2957.56367635235,0
ALL,2,12,86323.6758687442,104928.595906378,70437.574105761,6723.19052621065
Seeds,3,12,32780.2223075693,94554.2062933116,15686.3031100342,375561.515105775
Juveniles,3,12,1339.37890538703,8337.13829490293,2799.53281444992,39572.4913352054
Adults,3,12,123.783172225695,313.374554046306,0,506.731511151927
ALL,3,12,34243.384385182,103204.719142261,18485.8359244841,415640.737952132
