RunTime,Sp1,Sp2,Sp3
1,1355070.09923467,54202.8039693868,186225.296795943
2,1338639.93102348,49691.79452779,211668.274448726
3,1332572.76235697,51328.0798243053,216099.157818722
4,1164852.1642438,127103.468344569,308044.367411628
5,889131.506796818,134741.296102251,384303.972844176
6,825504.604644029,141180.521123517,405665.371934497
7,775132.984248917,156276.914545124,417701.478242976
8,30648.1300409098,246921.875203845,453077.886540765
9,0,237345.667179858,474164.543617127
10,16147.4679715626,229182.343306462,470788.473936115
11,48813.9197386519,228426.814755883,520485.413499453
12,4960.65640258602,233254.656593827,518582.24681669
