RunTime,Sp1,Sp2,Sp3
1,3e+05,150000,5000
2,135507.009923467,5420.28039693868,18622.5296795943
3,133863.993102348,4969.179452779,21166.8274448726
4,133257.276235697,5132.80798243053,21609.9157818722
5,116485.21642438,12710.3468344569,30804.4367411628
6,88913.1506796818,13474.1296102251,38430.3972844176
7,3792.16054092049,14118.0521123517,36659.4680144501
8,3659.61258306642,15627.6914545124,36826.4422778376
9,3064.81300409098,24692.1875203845,45307.7886540765
10,0,23734.5667179858,47416.4543617127
11,1614.74679715626,22918.2343306462,47078.8473936115
12,4881.39197386519,22842.6814755883,52048.5413499453
