RunTime,Sp1,Sp2,Sp3
1,3,3,1
2,3,3,1
3,3,3,3
4,3,3,3
5,3,3,3
6,2,3,3
7,2,3,1
8,0,3,1
9,1,3,1
10,1,3,2
11,1,3,3
12,2,3,3
