"ChangeStep","Species","A.Eigen","Is.Irreducible","Is.Ergodic","Max.Local.Eigen","Median.Local.Eigen","Min.Local.Eigen","Max.Seed.Export","Median.Seed.Export","Min.Seed.Export","Max.Seed.Import","Median.Seed.Import","Min.Seed.Import","Prop.Dispersing"
1,1,1.72814071263082,0,0,1.69549006834478,1.69549006834478,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
1,2,1.10808609225105,0,0,1.1010337143227,1.1010337143227,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
1,3,1.76133174750101,1,1,1.7278292812304,1.7278292812304,1.61889817504928,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
2,1,1.65017676275009,0,0,1.64229907434233,1.53475490231325,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
2,2,1.09659146027363,0,0,1.09472053655392,1.06841277930157,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
2,3,1.6814999823389,1,1,1.67247226748014,1.59875428817041,1.50060491032407,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
3,1,1.52188214084488,0,0,1.52075948051229,1.1011801209819,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
3,2,1.07490287257998,0,0,1.07461124340922,0.999590378087231,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
3,3,1.56498369819236,1,1,1.56015075088848,1.4388150303099,0.895875173283191,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
4,1,1.59958568192477,0,0,1.59948649994025,0.666807837503086,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
4,2,1.07534713766741,0,0,1.07531560576114,0.984844078479181,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
4,3,1.65791642873749,1,1,1.65740652471862,1.26563672697382,0.790334839980899,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
5,1,1.3900539982041,0,0,1.38999660439092,0.546441098070151,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
5,2,1.03505558841958,0,0,1.03505034341482,0.961351678726718,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
5,3,1.49527727543285,0,0,1.49454621476252,1.16402322433538,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
6,1,1.65219875284801,0,0,1.65212093234885,0.654588740598641,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
6,2,1.09556233731204,0,0,1.09555212078664,0.974206317225919,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
6,3,1.679085168138,0,0,1.67722809131701,1.3783077440194,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
7,1,0.1,0,0,0.1,0.0239597135262546,0,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
7,2,0.995900505165884,0,0,0.99589933882109,0.950514666359538,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
7,3,1.37820587878881,0,0,1.3782058569654,0.0238076631997334,0,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
8,1,0.1,0,0,0.1,0.0672807616533823,0.0335194334436693,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
8,2,1.08241387892852,0,0,1.08199868059326,1.0021058870196,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
8,3,1.53355057710495,1,1,1.53355053100439,0.0635273713797812,0.019568701061128,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
9,1,0.868458440639932,0,0,0.868191315710694,0.377990388983083,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
9,2,0.982310820090283,0,0,0.982308718304342,0.950828856179127,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
9,3,1.59161244155717,0,0,1.59153450597719,0.895069397316884,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
10,1,1.29161960985782,0,0,1.29161960985782,0.1,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
10,2,1.02861935847444,0,0,1.02861935847444,0.95,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
10,3,1.30839092939738,0,0,1.29892188259477,0.89547278768812,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
11,1,0.1,0,0,0.1,0.1,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
11,2,0.95,0,0,0.95,0.95,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
11,3,0.5,0,0,0.5,0.5,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
12,1,1.47413411143338,0,0,1.46622301652681,0.768366436588202,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
12,2,1.06142204206672,0,0,1.06083549211453,0.99736785749829,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
12,3,1.52217284014022,0,0,1.51494408520115,0.994169416163293,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
