RunTime,Sp1,Sp2,Sp3
1,3,3,1
2,3,3,1
3,3,3,4
4,3,3,4
5,3,3,4
6,3,3,4
7,3,3,1
8,0,3,1
9,3,3,3
10,3,3,4
11,3,3,4
12,3,3,4
