"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,15559.9428628218,14440.0571371782,649.2,NA,NA,NA
2,15410.8700592421,14589.1299407579,687.773258501225,-0.00962673825957266,0.0102706364874307,0.0577183818421145
3,11465.0011730911,14242.7520191554,1589.26977943644,-0.295774089799586,-0.0240285797288644,0.837570714024297
4,10989.9450641009,13880.4788592201,2426.86429036882,-0.042318248943088,-0.0257646926563541,0.423325356038652
5,8399.68181127922,13448.9116482356,2945.2588384596,-0.268786944163902,-0.0315852700003738,0.193596695496216
6,8472.82354880911,13140.1533421265,3309.80273938159,0.00866998636328428,-0.0232255015659737,0.116691888200525
7,60.2288473509117,12750.4501637237,2887.53608878306,-4.946467661453,-0.0301061049211319,-0.136485018210447
8,0,12332.807175988,2440.83047414693,-Inf,-0.033303616280168,-0.16806523439634
9,55.7702248567198,11989.768408758,3667.84514108259,Inf,-0.0282093081731392,0.407265994951783
10,80.4875039783196,11698.3852761538,2322.71083833608,0.366861820040776,-0.0246028317923455,-0.456869366250534
11,8.04875039783196,12502.0757335403,1827.48765315174,-2.30258509299405,0.0664438675110344,-0.23979281187691
12,77.4472228264521,12268.2664746693,2573.17804795461,2.26407985929058,-0.0188787220716728,0.342199573011055
