"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,1670630.04209749,218642.861106565,191874.496795943,NA,NA,NA
2,1489557.81100619,69701.2048654866,230978.577386821,-0.114721521221707,-1.1432220233929,0.185483471859953
3,1476679.43230382,69594.171495777,241023.419172088,-0.00868336452273985,-0.00153678310896808,0.0425691361212742
4,1359860.39174397,79324.5128377124,348112.383632003,-0.0824138989032406,0.130866375147221,0.367631265353985
5,1309192.52653749,79733.4517135847,395867.874046899,-0.0379714861400097,0.0051420220052164,0.128555135072375
6,1200440.78909353,131085.388317278,453396.602219504,-0.0867217416177953,0.497159711965722,0.135686739859623
7,1123437.10388113,98282.646967761,446014.258687671,-0.0662959848196398,-0.288001449860942,-0.0164163223826139
8,34041.576388555,270428.919060563,530317.648035478,-3.49656549523408,1.01216180742443,0.173125241271364
9,3025.56185168048,279964.000514027,529429.807633388,-2.42048580219124,0.0346517376720854,-0.00167557016544074
10,27501.0538469354,271205.186418728,567835.197215281,2.2071275153163,-0.0317853454644692,0.0700306381063037
11,42555.7366873069,266816.836339523,586869.625224398,0.436590342550051,-0.0163132630749407,0.0329714607505191
12,8062.09761649021,283847.111718454,672801.713990768,-1.66364089535084,0.0618733374139012,0.136647964580693
