RunTime,Sp1,Sp2,Sp3
1,3e+05,150000,5000
2,135507.009923467,5420.28039693868,18622.5296795943
3,133863.993102348,4969.179452779,21166.8274448726
4,133135.043802838,5038.22400238426,21826.7321947779
5,121573.540287704,6040.5809976108,32385.8787146857
6,117921.930443851,6024.39590677384,36053.6736493754
7,4448.8822442689,11192.0839068378,36394.8282856019
8,4343.66012031743,7434.01128971995,36566.058750772
9,2969.79162682376,25066.2100594855,49131.0758810559
10,0,24290.8022045784,47663.088661125
11,2742.0566342957,23521.5998937996,51784.939771582
12,3980.56313026134,23079.3160712183,53325.7197799664
