RunTime,Sp1,Sp2,Sp3
1,1355070.09923467,54202.8039693868,186225.296795943
2,1338639.93102348,49691.79452779,211668.274448726
3,1331350.43802838,50382.2400238426,218267.321947779
4,1215735.40287704,60405.809976108,323858.787146857
5,1179219.30443851,60243.9590677384,360536.736493754
6,1074046.03510087,111920.839068378,414033.125830747
7,1118927.99278951,74340.1128971995,406731.894313286
8,29697.9162682376,250662.100594855,491310.758810559
9,0,242908.022045783,476630.88661125
10,27420.566342957,235215.998937996,517849.39771582
11,39805.6313026134,230793.160712183,533257.197799664
12,4004.08726340242,248499.529172567,616902.816162847
